Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
Master Bedroom Studio Apartment,Bera Estate Chevron Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-bera-estate-chevron-lekki-lagos-9GBNZ,Lagos,Lekki,"1,200,000",1 beds,1 baths,1 Toilets,08071657170,15 Feb 2022,19 Feb 2022
A Brand Newly Built Mini Flat,Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ebute-metta-yaba-lagos-8FFMU,Lagos,Yaba,"600,000/year",0 beds,0 baths,0 Toilets,09083016090,24 Aug 2021,19 Feb 2022
Tastefully Finished 3bedroom Flat,Off Freedom Way Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-freedom-way-lekki-phase-1-lekki-lagos-3FYEU,Lagos,Lekki,"3,500,000",3 beds,3 baths,4 Toilets,08086267650,22 Jan 2022,19 Feb 2022
Executive Built 3bedroom Flat,Kasumu Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-kasumu-estate-akala-express-ibadan-oyo-3FZAS,Oyo,Ibadan,"700,000/year",3 beds,4 baths,4 Toilets,08142185274,28 Jan 2022,19 Feb 2022
Standard Room Self Contain,Bera Estate Chevron Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-bera-estate-chevron-lekki-lagos-9FYAX,Lagos,Lekki,"750,000",0 beds,0 baths,0 Toilets,08061641323,20 Jan 2022,19 Feb 2022
"Fully Serviced, 24hrs Light, 4bedroom Semi Detached Duplex With Bq",Orchid Road Chevron Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-orchid-road-chevron-lekki-lagos-8FRMP,Lagos,Lekki,"5,500,000/year", beds, baths, Toilets,08094163102,16 Nov 2021,19 Feb 2022
Luxury 5 Bedroom,Off Kingsway Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/house-for-rent-off-kingsway-old-ikoyi-ikoyi-lagos-3FPNL,Lagos,Ikoyi,"27,000,000/year", beds, baths, Toilets,09031533553,29 Oct 2021,19 Feb 2022
Executive Room Self Contain,Ajayi Road Ogba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ajayi-road-ogba-lagos-8FWWL,Lagos,Ogba,"400,000/year",0 beds,0 baths,0 Toilets,07036613677,11 Jan 2022,19 Feb 2022
3 Bedroom Flat With Bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-7FXYX,Lagos,Lekki,"5,500,000/year",3 beds,3 baths,1 Toilets,08038125965,20 Jan 2022,19 Feb 2022
A Large Room Self Contain Apartment,Isheri North Gra Opic Isheri North Ojodu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-isheri-north-gra-opic-isheri-north-ojodu-lagos-1FUTS,Lagos,Ojodu,"400,000",0 beds,0 baths,0 Toilets,09061500067,15 Dec 2021,19 Feb 2022
2 Bedroom Newly Built,Oluyole Estate Ibadan Oyo,https://www.propertypro.ng/property/flat-apartment-for-rent-oluyole-estate-ibadan-oyo-4ETXL,Oyo,Ibadan,"600,000",0 beds,0 baths,0 Toilets,08147747114,01 Jun 2021,19 Feb 2022
Waterfront 3 Bedroom Apartment +bq + Swimming Pool + Sauna + Gym + Underground Parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,"16,100,000",3 beds,3 baths,4 Toilets,08124269637,21 Jan 2022,24 Feb 2022
Luxury 2 Bedroom Flat,Jabi Jabi Abuja,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-jabi-jabi-abuja-3FZQT,Abuja,Jabi,"3,500,000/year",2 beds,2 baths,3 Toilets,08147562407,02 Feb 2022,19 Feb 2022
Spacious Mini Flat,Oworonshoki Gbagada Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-oworonshoki-gbagada-lagos-5FFAA,Lagos,Gbagada,"500,000/year",0 beds,0 baths,0 Toilets,09083016090,20 Aug 2021,19 Feb 2022
Standard 2 Bedroom Flat,Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ago-palace-okota-lagos-5FXAU,Lagos,Okota,"800,000/year",2 beds,2 baths,3 Toilets,09012934533,12 Jan 2022,19 Feb 2022
Luxurious & Standard 3 Bedroom Flat,Magodo Gra Phase 2 Kosofe Ikosi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-magodo-gra-phase-2-kosofe-ikosi-lagos-2GAUJ,Lagos,Ikosi,"3,000,000/year",3 beds,4 baths,4 Toilets,08133154602,10 Feb 2022,19 Feb 2022
Newly Built 3 Bedroom Flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-1GAQL,Lagos,Ajah,"1,000,000",3 beds,3 baths,4 Toilets,08137224561,09 Feb 2022,19 Feb 2022
Elegant Newly Built 2bedroom Flat,Peace Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-peace-estate-akala-express-ibadan-oyo-2FWWW,Oyo,Ibadan,"1,000,000/year",2 beds,3 baths,3 Toilets,08142185274,11 Jan 2022,19 Feb 2022
Lovely Clean 3bedroom Flat,Off Masha Road Surulere Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-masha-road-surulere-lagos-0FBTH,Lagos,Surulere,"3,000,000",0 beds,0 baths,0 Toilets,09083016090,26 Jul 2021,19 Feb 2022
Exquisitely Finished And Newly Built 1bedroom Flat,Mab Global Estate Idu Abuja,https://www.propertypro.ng/property/flat-apartment-for-rent-mab-global-estate-idu-abuja-3GACR,Abuja,Idu,"750,000/year",0 beds,0 baths,0 Toilets,08147562407,05 Feb 2022,19 Feb 2022
Serviced 2bedroom Apartment With 24hours Light,Oniru Right Side Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-oniru-right-side-lekki-phase-1-lekki-lagos-6FWWV,Lagos,Lekki,"4,800,000/year",2 beds,2 baths,3 Toilets,09060631614,11 Jan 2022,19 Feb 2022
Exquisitely Finished 5 Bedroom Ultra Luxurious Penthouse On 2 Floors With Private Cinema For Sale,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-sale-old-ikoyi-ikoyi-lagos-2FVQF,Lagos,Ikoyi,"2,000,000",5 beds,5 baths,6 Toilets,07057302511,27 Dec 2021,24 Feb 2022
2 Bedroom Flat,Cluster One Estate Ikota Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-cluster-one-estate-ikota-lekki-lagos-7FXGH,Lagos,Lekki,"1,700,000/year",2 beds,2 baths,3 Toilets,08168285322,14 Jan 2022,19 Feb 2022
3 Bedroom Flat,Ologuneru Ibadan Oyo,https://www.propertypro.ng/property/flat-apartment-for-rent-ologuneru-ibadan-oyo-8FXMY,Oyo,Ibadan,"550,000",0 beds,0 baths,0 Toilets,08052778232,17 Jan 2022,19 Feb 2022
Luxury 4 Bedroom Detached Duplex,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-0FZUQ,Lagos,Lekki,"5,000,000",4 beds,4 baths,5 Toilets,07036738886,03 Feb 2022,19 Feb 2022
4 Bedroom Duplex,"Olaleye New Town Estate, Iponri Surulere Lagos",https://www.propertypro.ng/property/4-bedroom-house-for-rent-olaleye-new-town-estate-iponri-surulere-lagos-7GAJV,Lagos,Surulere,"3,500,000/year",4 beds,5 baths,5 Toilets,08033149535,07 Feb 2022,19 Feb 2022
Super And Luxury Roomself Contain,Ojuelegba Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ojuelegba-surulere-lagos-9GBDF,Lagos,Surulere,"350,000",1 beds,1 baths,1 Toilets,08033149535,12 Feb 2022,19 Feb 2022
3 Bedroom Flat,Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ibadan-oyo-3FZYG,Oyo,Ibadan,"550,000/year",3 beds,3 baths,4 Toilets,09026318426,04 Feb 2022,19 Feb 2022
Standard 3bedroom Flat,Agungi Estate Agungi Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-agungi-estate-agungi-lekki-lagos-0FXSQ,Lagos,Lekki,"2,100,000",3 beds,3 baths,4 Toilets,08061641323,18 Jan 2022,19 Feb 2022
4 Bedroom Detached Duplex,Isehri Magodo Gra Phase 1 Ojodu Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-isehri-magodo-gra-phase-1-ojodu-lagos-6FWYZ,Lagos,Ojodu,"2,500,000/year",4 beds,4 baths,5 Toilets,08148495671,12 Jan 2022,19 Feb 2022
Serviced 3bedroom Flat,Madam Cellular Estate Agungi Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-madam-cellular-estate-agungi-lekki-lagos-2FZJA,Lagos,Lekki,"3,500,000/year",3 beds,3 baths,4 Toilets,09014267979,31 Jan 2022,19 Feb 2022
Newly Built 2 Bedroom Flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-9GAPR,Lagos,Ajah,"1,000,000",2 beds,2 baths,3 Toilets,08137224561,08 Feb 2022,19 Feb 2022
2 Bedroom Flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-4GBHC,Lagos,Ajah,"1,000,000",2 beds,2 baths,3 Toilets,08137224561,14 Feb 2022,19 Feb 2022
High Class 3 Bedroom Apartment + Bq+ Tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,"20,000,000",3 beds,3 baths,4 Toilets,08124269637,20 Jan 2022,24 Feb 2022
Newly Built Room And Parlour Self Contain,"Ogunremi Area, Ologuneru Eleyele Ibadan Oyo",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ogunremi-area-ologuneru-eleyele-ibadan-oyo-4GBVA,Oyo,Ibadan,"220,000/year",1 beds,1 baths,1 Toilets,08187281313,17 Feb 2022,19 Feb 2022
Beautifully Finished 3 Bedroom With A Bq,Maitama Maitama Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-maitama-maitama-abuja-6FZUM,Abuja,Maitama,"4,500,000/year",3 beds,3 baths,4 Toilets,08147562407,03 Feb 2022,19 Feb 2022
"A Superb Brand New Luxury Roomself Contain, Pop Finishing Fitted Kitchen With Marble, Room Has Wardrobe Fence And Gated Compound","Off Bisi Street, Alapere , Lagos Alapere Kosofe Ikosi Lagos",https://www.propertypro.ng/property/flat-apartment-for-rent-off-bisi-street-alapere-lagos-alapere-kosofe-ikosi-lagos-6EKTV,Lagos,Ikosi,"350,000/year", beds,1 baths,1 Toilets,08033657909,13 Mar 2021,19 Feb 2022
Master Bedroom Apartment,Idado Estate Idado Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-idado-estate-idado-lekki-lagos-6FKXA,Lagos,Lekki,"1,200,000",0 beds,0 baths,0 Toilets,08061641323,28 Sep 2021,19 Feb 2022
Newly Built Mini Flat,Ojuelegba Ojuelegba Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ojuelegba-ojuelegba-surulere-lagos-5GANY,Lagos,Surulere,"700,000/year",1 beds,1 baths,1 Toilets,08062371593,08 Feb 2022,19 Feb 2022
Nicely Built Room And Parlor Self Contain,Oni And Sons Off Ringroad Ring Rd Ibadan Oyo,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-oni-and-sons-off-ringroad-ring-rd-ibadan-oyo-4FZUJ,Oyo,Ibadan,"280,000/year",1 beds,1 baths,1 Toilets,07067980197,03 Feb 2022,19 Feb 2022
Standard 4 Bedroom Semi Detached Duplex With Bq,Ocean Bay Estate Orchid Road Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ocean-bay-estate-orchid-road-lekki-lagos-0GBRK,Lagos,Lekki,"3,500,000/year",4 beds,4 baths,4 Toilets,09029604948,16 Feb 2022,19 Feb 2022
Newly Built Service 3bed Flat With Elevator And Ac,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-phase-1-lekki-lagos-8FYKL,Lagos,Lekki,"5,000,000",3 beds,3 baths,4 Toilets,08061641323,24 Jan 2022,19 Feb 2022
Brand New Mini Flat,Obawole Area Ifako Ogba Ogba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-obawole-area-ifako-ogba-ogba-lagos-7FXQD,Lagos,Ogba,"500,000",0 beds,0 baths,0 Toilets,08100078046,17 Jan 2022,19 Feb 2022
4 Bedroom Duplex 24hrs Electricity/wifi/security,"Brains & Hammers Estate, Life Camp Abuja",https://www.propertypro.ng/property/4-bedroom-house-for-shortlet-brains-hammers-estate-life-camp-abuja-7DSHF,Abuja,Camp,"100,000/day",4 beds,4 baths,5 Toilets,09093333337,11 Aug 2020,22 Feb 2022
4 Bedroom Terrace Duplex With Bq,Mini Estate Parkview Estate Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-mini-estate-parkview-estate-ikoyi-lagos-9FVEB,Lagos,Ikoyi,"8,000,000/year",4 beds,4 baths,5 Toilets,09060631614,20 Dec 2021,19 Feb 2022
Furnished And Serviced Self Contained,Wuye Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-wuye-abuja-4FZCX,Abuja,Wuye,"1,200,000/year",1 beds,1 baths,1 Toilets,08065859043,29 Jan 2022,19 Feb 2022
Magnificent 4 Bedroom Semi Detached Duplex,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-3FWZC,Lagos,Ikoyi,"20,000,000/year",4 beds,4 baths,4 Toilets,09029604948,12 Jan 2022,19 Feb 2022
Newly Built 2 Bedroom Flat With All Room Ensuite,Abiodun Wright Kilo Marsha Surulere Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-abiodun-wright-kilo-marsha-surulere-lagos-4FYLK,Lagos,Surulere,"1,500,000/year",2 beds,2 baths,3 Toilets,08099275848,24 Jan 2022,19 Feb 2022
Newly Built 6units Two(2) Bedroom Flat,"Harmony Estate, Oke Ira Nla Badore Ajah Lagos",https://www.propertypro.ng/property/2-bedroom-house-for-rent-harmony-estate-oke-ira-nla-badore-ajah-lagos-5FXWH,Lagos,Ajah,"750,000/year",2 beds,2 baths,3 Toilets,08057121358,19 Jan 2022,19 Feb 2022
Executive Room Self Contain,Off Bodethomas Street Bode Thomas Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-bodethomas-street-bode-thomas-surulere-lagos-4FZKF,Lagos,Surulere,"650,000/year",1 beds,1 baths,0 Toilets,08028895806,31 Jan 2022,19 Feb 2022
Newlybuilt Serviced 2bedroom Apartment,Dawaki Abuja. Gwarinpa Abuja,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-dawaki-abuja-gwarinpa-abuja-0GATQ,Abuja,Gwarinpa,"1,800,000",2 beds,0 baths,0 Toilets,07067964004,09 Feb 2022,19 Feb 2022
To Let Newly Vacant 3bedrooms Government Block Of Flat,Main Gwarinpa Gwarinpa Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-main-gwarinpa-gwarinpa-abuja-8FZSE,Abuja,Gwarinpa,"1,900,000/year",3 beds,2 baths,3 Toilets,08137377290,02 Feb 2022,19 Feb 2022
4bedroom Duplex With 2 Living Rooms,Kolapo Ishola Gra Akobo Ibadan Oyo,https://www.propertypro.ng/property/4-bedroom-house-for-rent-kolapo-ishola-gra-akobo-ibadan-oyo-7GBVU,Oyo,Ibadan,"1,800,000/year",4 beds,4 baths,5 Toilets,09026318426,17 Feb 2022,19 Feb 2022
A Room Self Contained,Off Apapa Road Costain Iponri Surulere Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-apapa-road-costain-iponri-surulere-lagos-5EYTP,Lagos,Surulere,"250,000/year",0 beds,0 baths,0 Toilets,08182073205,03 Jul 2021,19 Feb 2022
24hours Serviced 3bedroom Duplex With Bq,Southern View Estate Chevron Chevron Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-southern-view-estate-chevron-chevron-lekki-lagos-8FXAQ,Lagos,Lekki,"3,500,000/year",3 beds,3 baths,4 Toilets,08168285322,12 Jan 2022,19 Feb 2022
Waterfront 3 Bedroom Apartment +bq + Swimming Pool + Sauna + Gym + Underground Parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,"16,100,000",3 beds,3 baths,4 Toilets,08124269637,21 Jan 2022,24 Feb 2022
3 Bedroom Flat With All Modern Facilities,Yidi Elebu Oluyole Extension Akala Express Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-yidi-elebu-oluyole-extension-akala-express-ibadan-oyo-4FZLT,Oyo,Ibadan,"400,000/year",3 beds,0 baths,0 Toilets,07037117785,01 Feb 2022,19 Feb 2022
Decent All Rooms En Suite 2 Bedroom Flat,Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ebute-metta-yaba-lagos-0FXYK,Lagos,Yaba,"1,400,000/year",2 beds,2 baths,3 Toilets,08125135974,20 Jan 2022,19 Feb 2022
A Room Shared Apartment,Off Ajiran Road Agungi Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-ajiran-road-agungi-lekki-lagos-9FZHY,Lagos,Lekki,"500,000",1 beds,1 baths,1 Toilets,08086267650,31 Jan 2022,19 Feb 2022
A Decent Room Self Contain,Ogudu Orike Ogudu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ogudu-orike-ogudu-lagos-0FRRF,Lagos,Ogudu,"350,000/year",0 beds,0 baths,0 Toilets,07031567993,17 Nov 2021,19 Feb 2022
Standard Shop,Olatunde Onimole Street By Ayetoro Junction Aguda Surulere Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-olatunde-onimole-street-by-ayetoro-junction-aguda-surulere-lagos-1EKWW,Lagos,Surulere,"180,000/year", beds, baths, Toilets,08028895806,15 Mar 2021,19 Feb 2022
6 Bedroom Detached House,Aerodrome Gra Samonda Ibadan Oyo,https://www.propertypro.ng/property/6-bedroom-house-for-rent-aerodrome-gra-samonda-ibadan-oyo-2FYRQ,Oyo,Ibadan,"5,000,000",6 beds,6 baths,7 Toilets,09151794889,25 Jan 2022,19 Feb 2022
Beautifully Finished And Luxury Built 1bedroom Flat,Gwarinpa Gwarinpa Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gwarinpa-gwarinpa-abuja-1GACS,Abuja,Gwarinpa,"1,200,000/year",1 beds,1 baths,0 Toilets,08147562407,05 Feb 2022,19 Feb 2022
Newly Built 4 Bedroom Duplex,"Beachwood Park Estate, Bogije Eputu Ibeju Lekki Lagos",https://www.propertypro.ng/property/4-bedroom-house-for-rent-beachwood-park-estate-bogije-eputu-ibeju-lekki-lagos-5FYRX,Lagos,Lekki,"3,000,000/year",4 beds,4 baths,5 Toilets,08066187389,25 Jan 2022,19 Feb 2022
Newly Built 2bedroom Flat,Ayobo Ipaja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ayobo-ipaja-lagos-0FUXF,Lagos,Ipaja,"650,000",0 beds,0 baths,0 Toilets,08033876086,16 Dec 2021,19 Feb 2022
Private Master Bedroom With Balcony,"First Unity Estate, Co Operative Bustop, Badore Ajah Lagos",https://www.propertypro.ng/property/1-bedroom-house-for-shortlet-first-unity-estate-co-operative-bustop-badore-ajah-lagos-7EZHY,Lagos,Ajah,"20,000/day",1 beds,1 baths,1 Toilets,09093333337,07 Jul 2021,22 Feb 2022
Room Selfcontain,Chief Natufe Street Off Bodethomas Bode Thomas Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-chief-natufe-street-off-bodethomas-bode-thomas-surulere-lagos-1GBMB,Lagos,Surulere,"550,000/year",1 beds,1 baths,1 Toilets,08028895806,15 Feb 2022,19 Feb 2022
4 Bedrooms Duplex,Soluyi Gbagada Lagos,https://www.propertypro.ng/property/house-for-rent-soluyi-gbagada-lagos-2GAQH,Lagos,Gbagada,"2,500,000",0 beds,0 baths,0 Toilets,07031567993,09 Feb 2022,19 Feb 2022
Mini Flat,Soluyi Gbagada Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-soluyi-gbagada-lagos-7FCZK,Lagos,Gbagada,"800,000",0 beds,0 baths,0 Toilets,07031567993,05 Aug 2021,19 Feb 2022
Standard 2bedroom Flat Apartment,Ayobo Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ayobo-ipaja-lagos-7FYZR,Lagos,Ipaja,"400,000/year",2 beds,3 baths,3 Toilets,08135357500,28 Jan 2022,19 Feb 2022
Executive 3 Bedroom Flat,Berger Ojodu Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-berger-ojodu-lagos-9FYGU,Lagos,Ojodu,"1,000,000/year",3 beds,4 baths,4 Toilets,09068622049,23 Jan 2022,19 Feb 2022
Newly Built 4 Bedrooms Terraced Duplex All Ensuite,"Raba Road, Angwan Rimi Gra Kaduna North Kaduna",https://www.propertypro.ng/property/4-bedroom-house-for-rent-raba-road-angwan-rimi-gra-kaduna-north-kaduna-1FUZH,Kaduna,North,"3,500,000",4 beds,5 baths,5 Toilets,08067992859,17 Dec 2021,19 Feb 2022
Furnished And Serviced Room Self Contain,Alagomeji Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-alagomeji-yaba-lagos-9FVPV,Lagos,Yaba,"800,000",0 beds,1 baths,1 Toilets,08106855223,27 Dec 2021,19 Feb 2022
2 Bedroom Apartment,Sholebo Ebute Ikorodu Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-sholebo-ebute-ikorodu-lagos-0FYXF,Lagos,Ikorodu,"500,000",2 beds,3 baths,3 Toilets,07010568925,27 Jan 2022,19 Feb 2022
Executive Built Room And Parlour Self Contain,Elebu Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-elebu-estate-akala-express-ibadan-oyo-0FZGF,Oyo,Ibadan,"350,000/year",1 beds,1 baths,1 Toilets,08142185274,31 Jan 2022,19 Feb 2022
Tastefully Finished 1 Bedroom Flat,Guzape Guzape Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-guzape-guzape-abuja-7GALE,Abuja,Guzape,"1,500,000/year",1 beds,1 baths,0 Toilets,08147562407,07 Feb 2022,19 Feb 2022
1 Bedroom Serviced Apartment,"Bakare Estate, Agungi Lekki, Lagos State. Agungi Lekki Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-bakare-estate-agungi-lekki-lagos-state-agungi-lekki-lagos-8FZYW,Lagos,Lekki,"1,500,000/year",1 beds,2 baths,2 Toilets,08035225824,04 Feb 2022,19 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Newly Built Room And Parlour Self Contain,"Odofin, Agunfoye Igbogbo Ikorodu Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-odofin-agunfoye-igbogbo-ikorodu-lagos-5GBRQ,Lagos,Ikorodu,"200,000/year",1 beds,1 baths,2 Toilets,08177520676,16 Feb 2022,19 Feb 2022
