Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
newly renovated 3 bedroom flat,Surulere Ojuelegba Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-surulere-ojuelegba-surulere-lagos-7GANR,Lagos,Surulere,2000000,3,2,8034918616,08 Feb 2022,24 Feb 2022
premium & private 4 bedroom terrace house +bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-2GCJX,Lagos,Ikoyi,12000000,4,4,8124269637,22 Feb 2022,24 Feb 2022
2 bedrooms flat,Iwaya Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-iwaya-yaba-lagos-7FZHM,Lagos,Yaba,1200000,2,2,8028761350,31 Jan 2022,24 Feb 2022
4bedrooms terrace duplex with bq,Close To Coza Church Guzape Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-coza-church-guzape-abuja-8GBRR,Abuja,Guzape,7000000,4,5,8053979149,16 Feb 2022,24 Feb 2022
luxury 1 bedroom apartment + elevators+ pool etc,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-0GBQM,Lagos,Island,10000000,1,1,8124269637,16 Feb 2022,24 Feb 2022
2 bedrooms flat,Olowora Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olowora-ojodu-lagos-4FZRV,Lagos,Ojodu,900000,2,2,8180249383,02 Feb 2022,24 Feb 2022
newly built 3 bedroom apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-7FZHH,Lagos,Lekki,5000000,3,3,8028761350,31 Jan 2022,24 Feb 2022
premium 4 bedroom penthouse apartment + bq+pool,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7GCAP,Lagos,Ikoyi,9000000,4,4,8124269637,19 Feb 2022,24 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,8124269637,23 Dec 2021,24 Feb 2022
brand new and luxury 4 bedroom semi detached house with boys quarter,Lekki Phase 2 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-2-lekki-lagos-5GBKY,Lagos,Lekki,6000000,4,5,8160971667,15 Feb 2022,24 Feb 2022
premium 4 bedroom apartment+ bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-3GBKD,Lagos,Ikoyi,10000000,4,4,8124269637,14 Feb 2022,24 Feb 2022
premium 3 bedroom apartment +pool+gym+elevator+ garden,Parkview Estate Parkview Estate Ikoyi Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-parkview-estate-parkview-estate-ikoyi-lagos-1FZTS,Lagos,Ikoyi,7500000,3,3,8124269637,02 Feb 2022,24 Feb 2022
premium 4 bedroom apartment + bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-2GCKU,Lagos,Ikoyi,10000000,4,4,8124269637,22 Feb 2022,24 Feb 2022
brand new 2bedrooms flat apartment,Orchid Road Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-orchid-road-lekki-lagos-5FZHM,Lagos,Lekki,2500000,2,2,8028761350,31 Jan 2022,24 Feb 2022
luxury 3 bedroom apartment+ tennis court etc,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-7GBQP,Lagos,Ikoyi,8500000,3,3,8124269637,16 Feb 2022,24 Feb 2022
newly built miniflat room and parlor self,By Eleko Junction Eleko Ibeju Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-by-eleko-junction-eleko-ibeju-lekki-lagos-0GADB,Lagos,Lekki,300000,1,1,9022355254,05 Feb 2022,24 Feb 2022
property,World Bank Owerri Imo,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-world-bank-owerri-imo-1FWZS,Imo,Owerri,600000,3,3,9154621665,12 Jan 2022,24 Feb 2022
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
luxury 12 units of 3 bedroom apartments in a gated estate,Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-0FYSX,Lagos,Island,7000000,3,3,7048089360,26 Jan 2022,24 Feb 2022
premium 4 bedroom apartment +bq,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-4GCAR,Lagos,Ikoyi,22000000,4,4,8124269637,19 Feb 2022,24 Feb 2022
modern 4 bedroom semi detached house,White Oaks Estate Agungi Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-white-oaks-estate-agungi-lekki-lagos-8FZGX,Lagos,Lekki,6000000,4,4,8034918616,31 Jan 2022,24 Feb 2022
luxury 2 bedroom apartment +bq,Victoria Island Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-victoria-island-ligali-ayorinde-victoria-island-lagos-0GBQL,Lagos,Island,14500000,2,2,8124269637,16 Feb 2022,24 Feb 2022
standard mini flat,Ogo Oluwa Street Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ogo-oluwa-street-ojodu-lagos-2FZSN,Lagos,Ojodu,600000,1,1,8180249383,02 Feb 2022,24 Feb 2022
6 units of 3 bedroom flat with a room bq,Victoria Island Lagos,https://www.propertypro.ng/property/house-for-rent-victoria-island-lagos-8FZHJ,Lagos,Island,5500000,3,3,8028761350,31 Jan 2022,24 Feb 2022
5bedrooms fully detached duplex,Diplomatic Zone Katampe Ext Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-diplomatic-zone-katampe-ext-abuja-2GANY,Abuja,Ext,7000000,5,5,8053979149,08 Feb 2022,24 Feb 2022
finished 5bedroom semi detached duplex,Close To Fairview School Guzape Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-close-to-fairview-school-guzape-abuja-1GCDE,Abuja,Guzape,15000000,5,5,8053979149,20 Feb 2022,24 Feb 2022
premium 3 bedroom apartment + bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-3GCAQ,Lagos,Ikoyi,9000000,3,3,8124269637,19 Feb 2022,24 Feb 2022
premium 4 bedroom semi detached terrace house + private garden,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-4GADD,Lagos,Ikoyi,14000000,4,3,8124269637,05 Feb 2022,24 Feb 2022
luxury 4 bedroom apartment + bq + swimming pool,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-2GBQV,Lagos,Island,12000000,4,4,8124269637,16 Feb 2022,24 Feb 2022
newly built luxury 3 bedroom apartment + bq + elevators,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-6GBQJ,Lagos,Island,15000000,3,3,8124269637,16 Feb 2022,24 Feb 2022
3bedroom luxury apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-2FZMC,Lagos,Lekki,4500000,3,3,8028761350,01 Feb 2022,24 Feb 2022
newly built 3 bedroom apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-5FYFB,Lagos,Ikoyi,14500000,3,3,8124269637,22 Jan 2022,24 Feb 2022
serviced 4 bedroom semi detached duplex with excellent facilities,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-5FXPL,Lagos,Island,7000000,4,4,7048089360,17 Jan 2022,24 Feb 2022
standard mini flat,Behind R. Jolad Hospital Gbagada Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-behind-r-jolad-hospital-gbagada-lagos-5FZSQ,Lagos,Gbagada,550000,1,1,8180249383,02 Feb 2022,24 Feb 2022
3 bedrooms flat,"Oyadiran Estate, Sabo Yaba Lagos",https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-oyadiran-estate-sabo-yaba-lagos-7FZSU,Lagos,Yaba,1600000,3,3,8180249383,02 Feb 2022,24 Feb 2022
3 bedroom apartment,Close To Fairview School Guzape Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-close-to-fairview-school-guzape-abuja-2GALE,Abuja,Guzape,5000000,3,3,8053979149,07 Feb 2022,24 Feb 2022
commercial 5 bedroom detached duplex with 2 rooms boys quarter,Off Admiralty Way Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-off-admiralty-way-lekki-phase-1-lekki-lagos-1GBLQ,Lagos,Lekki,20000000,5,7,8160971667,15 Feb 2022,24 Feb 2022
new 4 nos 3 bedroom terrace houses + bq+ swimming pool + gym +etc in banana island estate @n2.4b,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/10-bedroom-house-for-sale-banana-island-estate-banana-island-ikoyi-lagos-0FVLW,Lagos,Ikoyi,2400000000,4,10,8124269637,23 Dec 2021,24 Feb 2022
nicely finished 4 bedroom semi detached duplex,Idado Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-idado-lekki-lagos-1FYZN,Lagos,Lekki,4500000,4,5,8177766115,28 Jan 2022,24 Feb 2022
standard 6bedroom fully detached duplex,Close To Kaduna State Governor Lodge Asokoro Abuja,https://www.propertypro.ng/property/6-bedroom-house-for-rent-close-to-kaduna-state-governor-lodge-asokoro-abuja-3GBVU,Abuja,Asokoro,18000000,6,6,8053979149,17 Feb 2022,24 Feb 2022
5 bedroom terrace duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-osapa-london-lekki-lagos-5FZHJ,Lagos,Lekki,4000000,5,5,8028761350,31 Jan 2022,24 Feb 2022
lovely 2 bedrooms flat,"Bioyin Str, Jankara Alagbado Abule Egba Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-bioyin-str-jankara-alagbado-abule-egba-lagos-2FZUW,Lagos,Egba,400000,2,2,8180249383,03 Feb 2022,24 Feb 2022
spacious 3 bedroom flat with 1 room bq,Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-lagos-2GATC,Lagos,Ikoyi,9500000,3,3,8082163583,09 Feb 2022,24 Feb 2022
4 bedroom semi detached terrace house +bq,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-7GBSP,Lagos,Ikoyi,14000000,4,3,8124269637,17 Feb 2022,24 Feb 2022
4 bedroom semi detached house +private garden,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-4GBSQ,Lagos,Ikoyi,20000000,4,4,8124269637,17 Feb 2022,24 Feb 2022
spacious 3 bedroom flat,Ajao Estate Isolo Lagos,https://www.propertypro.ng/property/house-for-rent-ajao-estate-isolo-lagos-7FZRW,Lagos,Isolo,1500000,3,3,8028761350,02 Feb 2022,24 Feb 2022
3 bedroom flat,Ogunleye St Off Adekunle Kuye Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ogunleye-st-off-adekunle-kuye-surulere-lagos-6FZSP,Lagos,Surulere,1500000,3,2,8180249383,02 Feb 2022,24 Feb 2022
top rated 4 bedroom apartment + bq,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-5GBZB,Lagos,Island,18000000,4,4,8124269637,18 Feb 2022,24 Feb 2022
new built two bedroom apartment,"Yetkem Road White House Bus Stop, Ajasa Command Alagbado Abule Egba Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-yetkem-road-white-house-bus-stop-ajasa-command-alagbado-abule-egba-lagos-8FZSS,Lagos,Egba,650000,2,2,8180249383,02 Feb 2022,24 Feb 2022
3 bedroom apartment +bq+swimming pool,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-8GBJG,Lagos,Ikoyi,12500000,3,3,8124269637,14 Feb 2022,24 Feb 2022
3 bedrooms flat,Ogba Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ogba-lagos-7GATB,Lagos,Ogba,1200000,3,2,8180249383,09 Feb 2022,24 Feb 2022
luxury & serviced 3 bedroom apartment +bq,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-9GBQU,Lagos,Island,10000000,3,3,8124269637,16 Feb 2022,24 Feb 2022
luxury waterfront 4 bedroom semi detached house + bq,Osborne 1 Osborne Foreshore Estate Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osborne-1-osborne-foreshore-estate-ikoyi-lagos-9GBLC,Lagos,Ikoyi,12500000,4,4,8124269637,15 Feb 2022,24 Feb 2022
spacious 5 bedroom detached duplex with ample parking space,Pinnock Beach Estate Ikate Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-sale-pinnock-beach-estate-ikate-lekki-lagos-2FSDR,Lagos,Lekki,280000000,5,5,9062511340,22 Nov 2021,24 Feb 2022
3 bedroom flat,Sangotedo Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-sangotedo-lagos-4FZHJ,Lagos,Sangotedo,1500000,3,3,8028761350,31 Jan 2022,24 Feb 2022
newly built mini flat,Off Okeho Street Ire Akari Isolo Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-okeho-street-ire-akari-isolo-lagos-0GBAG,Lagos,Isolo,4000000,1,1,8034918616,11 Feb 2022,24 Feb 2022
3 bedroom apartment,Fatolu Ipaja Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-fatolu-ipaja-lagos-5GBJE,Lagos,Ipaja,520000,3,2,8180249383,14 Feb 2022,24 Feb 2022
new & serviced luxury 5 bedroom house + bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-5GBPC,Lagos,Ikoyi,20000000,5,4,8124269637,16 Feb 2022,24 Feb 2022
relatively new 2 units of mini flat,"Calvary Bus Stop, Ikotun Idimu Road, Ikotun Igando Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-calvary-bus-stop-ikotun-idimu-road-ikotun-igando-lagos-6FZUB,Lagos,Igando,400000,1,1,8180249383,03 Feb 2022,24 Feb 2022
newly renovated 3 bedroom flat,Surulere Ojuelegba Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-surulere-ojuelegba-surulere-lagos-6GANR,Lagos,Surulere,2000000,3,2,8034918616,08 Feb 2022,24 Feb 2022
newly renovated mini flat,"Ogundipe Junction, Oshogun Ketu Kosofe Ikosi Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ogundipe-junction-oshogun-ketu-kosofe-ikosi-lagos-9FZSV,Lagos,Ikosi,400000,1,1,8180249383,02 Feb 2022,24 Feb 2022
spacious 3 bedroom flat with 1 room bq;,Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-lagos-7FZPG,Lagos,Ikoyi,10000000,3,3,8082163583,01 Feb 2022,24 Feb 2022
12 units of 3 bedroom flat,Victoria Island Lagos,https://www.propertypro.ng/property/house-for-rent-victoria-island-lagos-5FVKN,Lagos,Island,7000000,3,3,8030996281,23 Dec 2021,24 Feb 2022
furnished 3 bedroom apartment with a room bq,Off Obaakinjobi Way Ikeja Gra Ikeja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-obaakinjobi-way-ikeja-gra-ikeja-lagos-9FZUH,Lagos,Ikeja,10000000,3,3,8028761350,03 Feb 2022,24 Feb 2022
relatively new 2 units of 2 bedrooms flat,"Calvary Bus Stop, Idimu Ikotun Rd Ikotun Igando Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-calvary-bus-stop-idimu-ikotun-rd-ikotun-igando-lagos-1FZUB,Lagos,Igando,700000,2,3,8180249383,03 Feb 2022,24 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,8124269637,20 Jan 2022,24 Feb 2022
"tastefully newly build exquisitely beautifully 5bedrooms semi detached duplex with bq fitted kitchen, very lovely backconnies",Diplomatic Zone Katampe Ext Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-diplomatic-zone-katampe-ext-abuja-0FZCH,Abuja,Ext,7000000,5,5,8053979149,28 Jan 2022,24 Feb 2022
furnished 4 bedroom apartment + bq,Off Awolowo Road Ikoyi Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-off-awolowo-road-ikoyi-ikoyi-sw-ikoyi-lagos-1GBXY,Lagos,Ikoyi,11000000,4,4,8124269637,18 Feb 2022,24 Feb 2022
luxury 3 bedroom apartment + bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-0GBQF,Lagos,Ikoyi,9000000,3,3,8124269637,16 Feb 2022,24 Feb 2022
newly built 2 bedrooms flat,By Mobil Off Ayo Alabi Oke Ira Ogba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-by-mobil-off-ayo-alabi-oke-ira-ogba-lagos-5FZUV,Lagos,Ogba,1500000,2,2,8180249383,03 Feb 2022,24 Feb 2022
premium 3 bedroom apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-0GBHQ,Lagos,Ikoyi,13500000,3,3,8124269637,14 Feb 2022,24 Feb 2022
newly renovated 2 numbers of 3 bedroom flat,Merci Eneli Street Off Adelabu Surulere Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-merci-eneli-street-off-adelabu-surulere-lagos-2FZSQ,Lagos,Surulere,2500000,3,2,8180249383,02 Feb 2022,24 Feb 2022
3 bedroom apartment +bq+gym+pool,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-5GBLA,Lagos,Ikoyi,19000000,3,3,8124269637,15 Feb 2022,24 Feb 2022
lavishly built 5 bedroom detached house,"Cooper Road, Old Ikoyi Ikoyi Lagos",https://www.propertypro.ng/property/5-bedroom-house-for-sale-cooper-road-old-ikoyi-ikoyi-lagos-0FFJW,Lagos,Ikoyi,1000000000,5,5,8082445909,23 Aug 2021,24 Feb 2022
luxury 3 bedroom apartment + bq,Victoria Island Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-ligali-ayorinde-victoria-island-lagos-0GBND,Lagos,Island,16500000,3,3,8124269637,15 Feb 2022,24 Feb 2022
3 bedroom flat,Few Minutes After Lakowe Lakowe Ajah Lagos,https://www.propertypro.ng/property/house-for-rent-few-minutes-after-lakowe-lakowe-ajah-lagos-2GBPC,Lagos,Ajah,700000,3,3,9022355254,16 Feb 2022,24 Feb 2022
newly built 2 bedroom flat,In Between Ogidon And Shopprite Shegotedo Ajah Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-in-between-ogidon-and-shopprite-shegotedo-ajah-sangotedo-ajah-lagos-7FYBA,Lagos,Ajah,1300000,2,2,9022355254,21 Jan 2022,24 Feb 2022
one single room shared apartment,Omole Street Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-omole-street-ologolo-lekki-lagos-7GAGX,Lagos,Lekki,1000000,1,1,9153245574,06 Feb 2022,24 Feb 2022
newly built 5 bedroom detached house,Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-8GBUP,Lagos,Lekki,8000000,5,5,8033354125,17 Feb 2022,23 Feb 2022
newly built furnished 2 bedroom duplex,Stop Over International Airport Road Ajao Estate Isolo Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-stop-over-international-airport-road-ajao-estate-isolo-lagos-0FXMJ,Lagos,Isolo,2000000,2,2,8031132925,17 Jan 2022,23 Feb 2022
miniflat,Fatai Irawo Street Off Ajao Junction Ajao Estate Isolo Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-fatai-irawo-street-off-ajao-junction-ajao-estate-isolo-lagos-5GCKJ,Lagos,Isolo,550000,1,1,8031132925,22 Feb 2022,23 Feb 2022
4 bedroom terrace duplex with a bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-7GBHJ,Lagos,Lekki,7000000,4,4,8139265236,14 Feb 2022,22 Feb 2022
4 bedroom maisonette,Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikoyi-lagos-2GBTB,Lagos,Ikoyi,12000000,4,4,8139265236,17 Feb 2022,22 Feb 2022
one bedroom apartment,Ikoyi Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ikoyi-lagos-0GBTC,Lagos,Ikoyi,5000000,1,1,8139265236,17 Feb 2022,22 Feb 2022
3 bedroom apartment,Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-victoria-island-lagos-1GBVK,Lagos,Island,12000000,3,3,8139265236,17 Feb 2022,22 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,8124269637,23 Dec 2021,24 Feb 2022
4 bedroom duplex,Chevron Toll Gate Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-5GCLJ,Lagos,Lekki,4000000,4,5,9035137760,22 Feb 2022,22 Feb 2022
fully serviced 4 bedroom semi detached duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-8GCKS,Lagos,Lekki,6000000,4,5,9035137760,22 Feb 2022,22 Feb 2022
4 bedroom detached duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-3GCKR,Lagos,Lekki,6000000,4,5,9035137760,22 Feb 2022,22 Feb 2022
